X,px,dx,Tx,QX,Lx,Dx,EX
0.00,112267.00,340.00,0.00,0.00,1000000.00,3070.00,82.29
1.00,117746.00,21.00,0.00,0.00,996930.00,178.00,81.54
2.00,119005.00,16.00,0.00,0.00,996752.00,134.00,80.55
3.00,119466.00,18.00,0.00,0.00,996618.00,150.00,79.56
4.00,122193.00,12.00,0.00,0.00,996468.00,98.00,78.58
5.00,123963.00,15.00,0.00,0.00,996370.00,121.00,77.58
6.00,126367.00,5.00,0.00,0.00,996249.00,39.00,76.59
7.00,128497.00,5.00,0.00,0.00,996210.00,39.00,75.60
8.00,130968.00,9.00,0.00,0.00,996171.00,68.00,74.60
9.00,132997.00,7.00,0.00,0.00,996103.00,52.00,73.60
10.00,134955.00,7.00,0.00,0.00,996050.00,52.00,72.61
11.00,137256.00,8.00,0.00,0.00,995998.00,58.00,71.61
12.00,139082.00,15.00,0.00,0.00,995940.00,107.00,70.62
13.00,139730.00,15.00,0.00,0.00,995833.00,107.00,69.62
14.00,139492.00,15.00,0.00,0.00,995726.00,107.00,68.63
15.00,138290.00,14.00,0.00,0.00,995619.00,101.00,67.64
16.00,136443.00,23.00,0.00,0.00,995518.00,168.00,66.64
17.00,134795.00,30.00,0.00,0.00,995350.00,222.00,65.66
18.00,133769.00,31.00,0.00,0.00,995129.00,231.00,64.67
19.00,132655.00,38.00,0.00,0.00,994898.00,285.00,63.69
20.00,131621.00,38.00,0.00,0.00,994613.00,287.00,62.70
21.00,133092.00,41.00,0.00,0.00,994326.00,306.00,61.72
22.00,136674.00,39.00,0.00,0.00,994020.00,284.00,60.74
23.00,139079.00,40.00,0.00,0.00,993736.00,286.00,59.76
24.00,139867.00,43.00,0.00,0.00,993451.00,305.00,58.77
25.00,142263.00,42.00,0.00,0.00,993145.00,293.00,57.79
26.00,144288.00,48.00,0.00,0.00,992852.00,330.00,56.81
27.00,145010.00,71.00,0.00,0.00,992522.00,486.00,55.83
28.00,145844.00,51.00,0.00,0.00,992036.00,347.00,54.86
29.00,149009.00,58.00,0.00,0.00,991689.00,386.00,53.87
30.00,153651.00,60.00,0.00,0.00,991303.00,387.00,52.89
31.00,157047.00,68.00,0.00,0.00,990916.00,429.00,51.92
32.00,157957.00,77.00,0.00,0.00,990487.00,483.00,50.94
33.00,156728.00,71.00,0.00,0.00,990005.00,448.00,49.96
34.00,155633.00,83.00,0.00,0.00,989556.00,528.00,48.98
35.00,154321.00,105.00,0.00,0.00,989029.00,673.00,48.01
36.00,152782.00,120.00,0.00,0.00,988356.00,776.00,47.04
37.00,151221.00,127.00,0.00,0.00,987580.00,829.00,46.08
38.00,150177.00,123.00,0.00,0.00,986751.00,808.00,45.12
39.00,150695.00,141.00,0.00,0.00,985943.00,922.00,44.15
40.00,152118.00,155.00,0.00,0.00,985021.00,1003.00,43.20
41.00,154266.00,153.00,0.00,0.00,984018.00,975.00,42.24
42.00,155828.00,177.00,0.00,0.00,983042.00,1116.00,41.28
43.00,155408.00,183.00,0.00,0.00,981926.00,1156.00,40.33
44.00,152858.00,212.00,0.00,0.00,980771.00,1359.00,39.37
45.00,150730.00,251.00,0.00,0.00,979411.00,1630.00,38.43
46.00,148524.00,245.00,0.00,0.00,977782.00,1612.00,37.49
47.00,146192.00,260.00,0.00,0.00,976170.00,1735.00,36.55
48.00,146706.00,296.00,0.00,0.00,974436.00,1964.00,35.62
49.00,149752.00,306.00,0.00,0.00,972472.00,1985.00,34.69
50.00,153060.00,386.00,0.00,0.00,970487.00,2444.00,33.76
51.00,156496.00,375.00,0.00,0.00,968042.00,2317.00,32.84
52.00,158210.00,404.00,0.00,0.00,965725.00,2463.00,31.92
53.00,157556.00,491.00,0.00,0.00,963262.00,2997.00,31.00
54.00,155838.00,451.00,0.00,0.00,960265.00,2775.00,30.09
55.00,155145.00,573.00,0.00,0.00,957490.00,3530.00,29.18
56.00,156487.00,642.00,0.00,0.00,953960.00,3906.00,28.29
57.00,159275.00,686.00,0.00,0.00,950055.00,4083.00,27.40
58.00,162368.00,720.00,0.00,0.00,945972.00,4186.00,26.52
59.00,162081.00,845.00,0.01,0.01,941786.00,4897.00,25.63
60.00,157739.00,905.00,0.01,0.01,936889.00,5360.00,24.76
61.00,154697.00,958.00,0.01,0.01,931529.00,5751.00,23.90
62.00,152263.00,1098.00,0.01,0.01,925778.00,6652.00,23.05
63.00,149921.00,1147.00,0.01,0.01,919126.00,7005.00,22.21
64.00,146543.00,1330.00,0.01,0.01,912121.00,8241.00,21.38
65.00,141318.00,1359.00,0.01,0.01,903880.00,8651.00,20.57
66.00,136609.00,1494.00,0.01,0.01,895230.00,9737.00,19.76
67.00,132585.00,1571.00,0.01,0.01,885492.00,10430.00,18.97
68.00,128656.00,1645.00,0.01,0.01,875062.00,11117.00,18.19
69.00,124092.00,1715.00,0.01,0.01,863945.00,11858.00,17.42
70.00,120265.00,1766.00,0.01,0.01,852087.00,12421.00,16.66
71.00,115551.00,1953.00,0.02,0.02,839666.00,14072.00,15.90
72.00,111692.00,2009.00,0.02,0.02,825594.00,14717.00,15.16
73.00,109851.00,2186.00,0.02,0.02,810876.00,15977.00,14.42
74.00,107918.00,2363.00,0.02,0.02,794900.00,17216.00,13.70
75.00,105454.00,2522.00,0.02,0.02,777684.00,18378.00,13.00
76.00,102461.00,2791.00,0.03,0.03,759305.00,20404.00,12.30
77.00,92135.00,2741.00,0.03,0.03,738901.00,21658.00,11.63
78.00,81903.00,2692.00,0.03,0.03,717243.00,23191.00,10.96
79.00,77043.00,2826.00,0.04,0.04,694052.00,24997.00,10.31
80.00,68047.00,2753.00,0.04,0.04,669055.00,26528.00,9.68
81.00,58645.00,2672.00,0.05,0.04,642527.00,28618.00,9.06
82.00,56346.00,2846.00,0.05,0.05,613909.00,30238.00,8.45
83.00,58746.00,3531.00,0.06,0.06,583671.00,34049.00,7.87
84.00,57985.00,3843.00,0.07,0.06,549622.00,35246.00,7.32
85.00,53475.00,3982.00,0.07,0.07,514376.00,36912.00,6.79
86.00,47703.00,4134.00,0.09,0.08,477465.00,39635.00,6.28
87.00,42477.00,4110.00,0.10,0.09,437829.00,40379.00,5.80
88.00,38130.00,4421.00,0.12,0.11,397451.00,43511.00,5.34
89.00,33838.00,4320.00,0.13,0.12,353939.00,42421.00,4.93
90.00,29429.00,4297.00,0.15,0.14,311518.00,42321.00,4.54
91.00,25266.00,4340.00,0.17,0.16,269198.00,42487.00,4.17
92.00,20776.00,3867.00,0.19,0.17,226710.00,38503.00,3.86
93.00,16110.00,3365.00,0.21,0.19,188207.00,35478.00,3.55
94.00,11843.00,2819.00,0.24,0.21,152730.00,32351.00,3.26
